model,paris_ratchet,paris_ratchet,paris_ratchet,paris_ratchet,paris_ratchet,paris_ratchet,paris_ratchet,paris_ratchet,paris_ratchet,paris_ratchet,paris_ratchet,paris_ratchet,paris_ratchet
scenario,ratchet_ndc,2ratchet_ndc,3ratchet_ndc,4ratchet_ndc,5ratchet_ndc,6ratchet_ndc,ratchet_policy,2ratchet_policy,3ratchet_policy,4ratchet_policy,5ratchet_policy,6ratchet_policy,8ratchet_policy
"('Years', 'Years')",,,,,,,,,,,,,
2010.0,47.211428586302645,47.211428586302645,47.211428586302645,47.211428586302645,47.211428586302645,47.211428586302645,47.211428586302645,47.211428586302645,47.211428586302645,47.211428586302645,47.211428586302645,47.211428586302645,47.211428586302645
2011.0,48.53665299126904,48.53665299126904,48.53665299126904,48.53665299126904,48.53665299126904,48.53665299126904,48.53665299126904,48.53665299126904,48.53665299126904,48.53665299126904,48.53665299126904,48.53665299126904,48.53665299126904
2012.0,49.281123109240646,49.281123109240646,49.281123109240646,49.281123109240646,49.281123109240646,49.281123109240646,49.281123109240646,49.281123109240646,49.281123109240646,49.281123109240646,49.281123109240646,49.281123109240646,49.281123109240646
2013.0,49.90021682001051,49.90021682001051,49.90021682001051,49.90021682001051,49.90021682001051,49.90021682001051,49.90021682001051,49.90021682001051,49.90021682001051,49.90021682001051,49.90021682001051,49.90021682001051,49.90021682001051
2014.0,50.26502908415728,50.26502908415728,50.26502908415728,50.26502908415728,50.26502908415728,50.26502908415728,50.26502908415728,50.26502908415728,50.26502908415728,50.26502908415728,50.26502908415728,50.26502908415728,50.26502908415728
2015.0,50.31882146731385,50.31882146731385,50.31882146731385,50.31882146731385,50.31882146731385,50.31882146731385,50.31882146731385,50.31882146731385,50.31882146731385,50.31882146731385,50.31882146731385,50.31882146731385,50.31882146731385
2016.0,50.51965683733943,50.51965683733943,50.51965683733943,50.51965683733943,50.51965683733943,50.51965683733943,50.51965683733943,50.51965683733943,50.51965683733943,50.51965683733943,50.51965683733943,50.51965683733943,50.51965683733943
2017.0,51.21184143945356,51.21184143945356,51.21184143945356,51.21184143945356,51.21184143945356,51.21184143945356,51.21184143945356,51.21184143945356,51.21184143945356,51.21184143945356,51.21184143945356,51.21184143945356,51.21184143945356
2018.0,52.14207922539061,52.14207922539061,52.14207922539061,52.14207922539061,52.14207922539061,52.14207922539061,52.14207922539061,52.14207922539061,52.14207922539061,52.14207922539061,52.14207922539061,52.14207922539061,52.14207922539061
2019.0,52.48558598001219,52.48558598001219,52.48558598001219,52.48558598001219,52.48558598001219,52.48558598001219,52.48558598001219,52.48558598001219,52.48558598001219,52.48558598001219,52.48558598001219,52.48558598001219,52.48558598001219
2020.0,50.63914145989046,50.63914145989046,50.63914145989046,50.63914145989046,50.63914145989046,50.63914145989046,50.63914145989046,50.63914145989046,50.63914145989046,50.63914145989046,50.63914145989046,50.63914145989046,50.63914145989046
